country,date,sentiment
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 16, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",-1
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 15, 2023",0
IvoryCoast500,"November 14, 2023",0
IvoryCoast500,"November 14, 2023",0
