Date,mean_FEEL,mean_inquirerbasic_fr,mean_lexicoder,mean_Loughran-McDonald,mean_OIL_ECON_FR,Returns,Volume
2022-01-04,0.077755905511811,0.0285433070866141,0.03149606299212595,0.0226377952755905,0.0383858267716535,0.00598744193683487,0.1519777506484994
2022-01-07,0.0455856149943553,0.022075325417227648,0.025968770827382602,0.01304049183226555,0.0300118333537356,-0.00181173211190222,-0.05783596089108922
2022-01-10,0.05782597383288725,0.015477355700928376,0.03175488155416785,0.0041686283741368246,0.028926409125450123,-0.0062840130691137475,0.010982302412762657
2022-01-11,0.0,0.0,0.0,0.0,0.0,0.004106930752959315,-0.0512765212291022
2022-01-12,0.08068154535256727,0.02630307045575955,0.03748135574054333,0.0053751715499194,0.028489153411165723,0.0032411367943381286,0.07568925936216875
2022-01-13,0.06546942673357202,0.016369137819092352,0.020225608755357,0.00528460010725455,0.02533945547879278,-0.002168708347913384,-0.017866874534806954
2022-01-14,0.09387090547447395,0.0291830671489597,0.03500751135095205,0.007171451830839301,0.0244160868798939,-0.003520612418858704,-0.011086442217393966
2022-01-17,0.0666879161354299,0.0266468338291542,0.02812013033007505,0.01045473863153415,0.02836095764272555,0.003550765936013889,-0.17378010579460845
2022-01-18,0.0644277262960369,0.02203614788525028,0.02862098718618525,0.008698365741007796,0.028327636397823205,-0.004108655474513334,0.16713775893923977
2022-01-19,0.050310611005998485,0.026281065176218674,0.019457154175869042,0.0081281647766869,0.022428767918807168,0.0023768581222980423,0.029967166725317185
2022-01-20,0.04396512935293614,0.01776606362808372,0.022290733214706548,0.009521272223152183,0.02395010424904745,0.0012804831217776425,-0.039065394661053965
2022-01-21,0.0331131254160905,0.00289855072463765,0.00674962871920925,0.0035335689045936,0.0128642392584626,-0.007647319441048683,0.15802548915458914
2022-01-28,0.06832003503696323,0.024689410358487766,0.02685479533068627,0.0054928231515979165,0.021885014278364815,-0.003596143271904051,0.027683722027990854
