Week,Return,mean_FEEL,mean_inquirerbasic_fr,mean_Loughran-McDonald,mean_OIL_ECON_FR
85.00,0.000212689,0.119144545,-0.014604208,-0.006350057,-0.016155297
86.00,-0.001506437,0.107712167,-0.014287984,-0.005309148,-0.013019046
87.00,0.000564577,0.097318529,-0.012616535,-0.007737401,-0.017588268
88.00,0.000573769,0.114970048,-0.006422501,-0.006078285,-0.014313743
89.00,-0.000477986,0.116451471,-0.00972633,-0.002701395,-0.016626325
90.00,0.001171736,0.117126169,-0.012151003,-0.004860059,-0.014350068
91.00,-0.001653003,0.130364501,-0.015648606,-0.007657601,-0.016699205
92.00,-0.000431178,0.115385172,-0.01232369,-0.0058842,-0.019097236
93.00,-0.000654816,0.118019854,-0.013280857,-0.003493602,-0.015049532
94.00,-0.000499563,0.099079702,-0.009038022,-0.006250646,-0.013604242
95.00,-0.00168191,0.116147864,-0.015848594,-0.003456791,-0.013540531
96.00,-0.000189982,0.122641019,-0.020992073,-0.00302172,-0.009678808
97.00,0.002260192,0.127589109,-0.008229243,-0.002315257,-0.00615519
98.00,-2.17E-05,0.134659124,-0.012359955,-0.000398049,-0.007446722
99.00,0.001641378,0.099597712,-0.016825224,-0.006343415,-0.012822566
100.00,0.000503026,0.13140769,-0.011954718,-0.000358522,-0.012601768
101.00,0.000452213,0.111957389,-0.01736447,-0.005881353,-0.014249561
102.00,0.001505165,0.084648733,-0.001894062,-0.00302362,-0.011016017
103.00,0.000577293,0.098834476,-0.007700677,-0.000392426,-0.009931447
104.00,-0.000229832,0.117536365,-0.010023792,-0.006369774,-0.012626978
105.00,-0.000210527,0.092226622,-0.015910867,-0.00824134,-0.014032594
